config,model,seed,rho_target,leak,input_scale,washout,t_train,t_test,score,capture_pct_vs_baseline
t_train_x0.25,binary+shuffle,0,0.8,0.8,0.5,500,375,500,4.0542802810668945,118.42101817839446
t_train_x0.25,real,0,0.8,0.8,1.0,500,375,500,3.5220861434936523,113.74574349517516
t_train_x0.25,shuffle_weights,0,0.8,0.8,1.0,500,375,500,2.9190306663513184,102.23402086932096
t_train_x0.25,cel_randN,0,0.8,0.8,1.0,500,375,500,4.151493549346924,138.3962288145023
t_train_x0.25,er_randN,0,0.8,0.8,1.0,500,375,500,5.341917991638184,63.32460426976469
t_train_x0.25,ws_p01_randN,0,0.8,0.8,1.0,500,375,500,5.8456854820251465,71.54764403210282
t_train_x0.25,conn_shuf,0,0.8,0.8,1.0,500,375,500,3.2229788303375244,110.65665196281952
t_train_x0.25,local_sign,0,0.8,0.8,1.0,500,375,500,3.0726466178894043,93.86219847467902
t_train_x0.25,conn_shuf_only,0,0.8,0.8,1.0,500,375,500,3.012113094329834,104.80629814133486
t_train_x0.25,cel_sample,0,0.8,0.8,1.0,500,375,500,3.7199959754943848,153.30135279938077
t_train_x0.25,local_sign+flat,0,0.8,0.8,1.0,500,375,500,2.63858962059021,71.13261513285809
t_train_x0.25,local_sign+sample,0,0.8,0.8,1.0,500,375,500,2.391268253326416,91.5853932813068
t_train_x0.25,local_sign+binary,0,0.8,0.8,1.0,500,375,500,2.6383800506591797,90.67973038062456
t_train_x0.25,global_sign_pres,0,0.8,0.8,1.0,500,375,500,2.6743359565734863,118.59326564013212
t_train_x0.25,binary+shuffle,0,0.8,0.8,1.0,500,375,500,1.8675758838653564,60.11788297230436
t_train_x0.25,real,0,0.8,1.0,0.5,500,375,500,5.459528923034668,99.65645196611835
t_train_x0.25,shuffle_weights,0,0.8,1.0,0.5,500,375,500,6.533662796020508,109.67240312837372
t_train_x0.25,cel_randN,0,0.8,1.0,0.5,500,375,500,9.913936614990234,141.58006128702758
t_train_x0.25,er_randN,0,0.8,1.0,0.5,500,375,500,12.173544883728027,81.70323534874885
t_train_x0.25,ws_p01_randN,0,0.8,1.0,0.5,500,375,500,11.654948234558105,82.51988891471998
t_train_x0.25,conn_shuf,0,0.8,1.0,0.5,500,375,500,6.371105194091797,123.86226393615203
t_train_x0.25,local_sign,0,0.8,1.0,0.5,500,375,500,5.1592254638671875,101.06241975247755
t_train_x0.25,conn_shuf_only,0,0.8,1.0,0.5,500,375,500,6.725157260894775,113.04394627949137
t_train_x0.25,cel_sample,0,0.8,1.0,0.5,500,375,500,6.898533821105957,161.0702019869142
t_train_x0.25,local_sign+flat,0,0.8,1.0,0.5,500,375,500,4.595466136932373,76.56177459132431
t_train_x0.25,local_sign+sample,0,0.8,1.0,0.5,500,375,500,5.996259689331055,124.08261262199993
t_train_x0.25,local_sign+binary,0,0.8,1.0,0.5,500,375,500,4.617346286773682,103.58617421405985
